termo	descricaoMMA	domínio	planilha	termoEquivalente	Nota
ID_taxon			Dados_BI_especiesameacadas_20.02.2020_paraequipe	dwc:taxon:taxonID	
Fauna/Flora / Grupão	Nome vernacular relativo ao reino biológico ao qual o táxon pertence. Campo de vocabulário controlado	"Fauna; Flora"	"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	dwc:taxon:kingdom	Domínios diferentes do termo equivalente, mas poderiam ser corrigidos.
Grupo / Grupo taxonômico	Nome do grupo biológico ao qual o táxon pertence segundo critérios do MMA. Campo de vocabulário controlado	"Anfíbios; Angiospermas; Aves; Briófitas; Gimnospermas; Invertebrados Aquáticos; Invertebrados Terrestres; Mamíferos; Peixes Continentais; Peixes Marinhos; Pteridófitas; Répteis"	"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"		
Família			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	dwc:taxon:family	
Espécie (Simplificado) / Nome científico	Nome científico sem autor		"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	dwc:taxon:genus, dwc:taxon:specificEpithet	O nome científico, binomial, sem autor, deve ser dividido em dois campos específicos. 
Nome Comum			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	dwc:vernacularname:vernacularName	
Categoria de Ameaça	Nome da categoria de ameaça por extenso		Dados_BI_especiesameacadas_20.02.2020_paraequipe		
Sigla Categoria de Ameaça			"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	iucn:assessments:RedListCriteria.manualCategory, cncfws:assessment:category	
Critério			Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi	cncfws:assessment:criteria, iucn:assessments:RedListCriteria.manualCriteria	
Bioma	Bioma brasileiro em que a espécie ocorre.	"Amazônia; Caatinga; Cerrado; Ilha Oceânica; Marinho; Mata Atlântica; Pampa; Pantanal"	"Dados_BI_especiesameacadas_20.02.2020_paraequipe; Estrategia Nacional - niveis de proteção; Tabelão estratégia_ATUALIZADA Pedro_29.08.2019_bi"	dwc:distribution:occurrenceRemarks, faunaws:v_distribuicao:epicontinentaldomain, cncfws:ecology:biomas	Não existe um termo de domínio específico nos padrões internacionais usuais. Os termos equivalentes apontados foram adaptados ou criados por demandas internas dos produtores.
